subject,event_type,onset_s,n_views,would_be_removed
chb06,FP,85540,2,False
chb06,FP,86700,1,True
chb06,FP,87500,2,False
chb06,FP,88220,3,False
chb06,FP,90340,2,False
chb06,FP,90900,1,True
chb06,FP,91500,1,True
chb06,FP,92760,1,True
chb06,FP,93260,0,True
chb06,FP,93760,2,False
chb06,FP,94440,1,True
chb06,FP,95360,1,True
chb06,FP,96460,1,True
chb06,FP,97160,1,True
chb06,FP,99740,2,False
chb06,FP,100260,1,True
chb06,FP,103820,2,False
chb06,FP,104080,3,False
chb06,FP,104580,3,False
chb06,TP,49420,1,True
chb06,TP,235220,1,True
chb13,FP,160,2,False
chb13,FP,780,2,False
chb13,FP,1100,2,False
chb13,FP,1500,2,False
chb13,FP,1640,3,False
chb13,FP,3140,2,False
chb13,FP,3240,1,True
chb13,FP,5540,1,True
chb13,FP,6220,1,True
chb13,FP,7120,1,True
chb13,FP,10580,1,True
chb13,FP,13600,1,True
chb13,FP,13700,1,True
chb13,FP,18600,1,True
chb13,FP,18720,2,False
chb13,FP,19160,1,True
chb13,FP,20040,1,True
chb13,FP,25040,3,False
chb13,FP,25580,3,False
chb13,FP,26080,0,True
chb13,FP,27380,1,True
chb13,FP,28220,2,False
chb13,FP,28860,2,False
chb13,FP,28980,1,True
chb13,FP,29700,2,False
chb13,FP,30020,2,False
chb13,FP,31660,1,True
chb13,FP,36460,1,True
chb13,FP,36660,1,True
chb13,FP,37440,1,True
chb13,FP,39880,2,False
chb13,FP,40640,2,False
chb13,FP,40960,1,True
chb13,FP,41880,3,False
chb13,FP,42240,3,False
chb13,FP,42900,1,True
chb13,FP,43040,2,False
chb13,FP,43180,2,False
chb13,FP,43340,1,True
chb13,FP,44180,2,False
chb13,FP,45100,2,False
chb13,FP,45480,2,False
chb13,FP,46000,2,False
chb13,FP,46180,3,False
chb13,FP,46320,2,False
chb13,FP,46560,3,False
chb13,FP,47000,3,False
chb13,FP,47340,3,False
chb13,FP,47580,1,True
chb13,FP,47940,2,False
chb13,FP,48900,2,False
chb13,FP,49660,2,False
chb13,TP,59660,3,False
chb13,TP,62120,3,False
chb13,TP,90120,1,True
chb13,TP,97640,3,False
chb13,TP,99620,2,False
chb13,TP,106860,3,False
chb13,TP,111340,3,False
chb13,TP,116060,2,False
chb13,TP,116840,3,False
chb13,TP,117940,1,True
chb14,FP,200,2,False
chb14,FP,820,1,True
chb14,FP,1080,1,True
chb14,FP,1500,3,False
chb14,FP,1680,2,False
chb14,FP,2400,1,True
chb14,FP,3680,1,True
chb14,FP,4500,1,True
chb14,FP,5020,1,True
chb14,FP,7500,0,True
chb14,FP,8180,1,True
chb14,FP,8780,0,True
chb14,FP,11260,0,True
chb14,FP,11580,1,True
chb14,FP,11680,2,False
chb14,FP,14600,0,True
chb14,FP,14840,1,True
chb14,FP,14980,3,False
chb14,FP,15200,2,False
chb14,FP,15360,1,True
chb14,FP,15560,0,True
chb14,FP,15700,0,True
chb14,FP,18840,2,False
chb14,FP,19100,0,True
chb14,FP,21080,2,False
chb14,FP,21240,2,False
chb14,FP,21400,1,True
chb14,FP,21680,3,False
chb14,FP,22400,0,True
chb14,FP,22500,1,True
chb14,FP,23180,1,True
chb14,FP,25680,1,True
chb14,FP,25820,1,True
chb14,FP,25920,1,True
chb14,FP,26260,1,True
chb14,FP,26520,1,True
chb14,FP,26620,3,False
chb14,FP,27420,3,False
chb14,FP,27920,1,True
chb14,FP,28200,1,True
chb14,FP,28320,1,True
chb14,FP,30080,0,True
chb14,FP,30440,1,True
chb14,FP,30540,1,True
chb14,FP,30760,2,False
chb14,FP,31760,2,False
chb14,FP,32660,0,True
chb14,FP,32760,1,True
chb14,FP,33180,0,True
chb14,FP,33560,1,True
chb14,FP,33920,1,True
chb14,FP,34400,0,True
chb14,FP,35780,1,True
chb14,FP,37300,0,True
chb14,FP,37420,2,False
chb14,FP,38940,0,True
chb14,FP,39860,1,True
chb14,FP,41940,1,True
chb14,FP,42720,1,True
chb14,FP,43640,1,True
chb14,FP,43960,2,False
chb14,FP,47360,0,True
chb14,FP,47740,1,True
chb14,FP,48040,2,False
chb14,FP,50780,1,True
chb14,FP,51020,1,True
chb14,FP,51120,1,True
chb14,FP,52200,3,False
chb14,FP,52500,1,True
chb14,FP,52860,2,False
chb14,FP,53380,1,True
chb14,FP,54340,1,True
chb14,FP,55820,1,True
chb14,FP,55920,2,False
chb14,FP,56120,3,False
chb14,FP,57800,1,True
chb14,FP,58180,1,True
chb14,FP,59740,1,True
chb14,FP,61540,0,True
chb14,FP,61800,0,True
chb14,FP,62620,0,True
chb14,FP,63120,0,True
chb14,FP,63380,0,True
chb14,FP,64000,1,True
chb14,FP,65100,2,False
chb14,FP,65740,1,True
chb14,FP,65860,1,True
chb14,TP,9240,1,True
chb14,TP,12140,3,False
chb14,TP,13600,2,False
chb14,TP,16280,2,False
chb14,TP,23420,3,False
chb14,TP,42860,1,True
chb14,TP,44280,1,True
chb14,TP,71220,0,True
chb15,FP,640,1,True
chb15,FP,2040,1,True
chb15,FP,2180,2,False
chb15,FP,2740,2,False
chb15,FP,3980,1,True
chb15,FP,4240,2,False
chb15,FP,4480,2,False
chb15,FP,6140,2,False
chb15,FP,9860,2,False
chb15,FP,10720,2,False
chb15,FP,12520,1,True
chb15,FP,14540,2,False
chb15,FP,15960,3,False
chb15,FP,17420,3,False
chb15,FP,17680,2,False
chb15,FP,18080,2,False
chb15,FP,24520,2,False
chb15,FP,27920,2,False
chb15,FP,28840,2,False
chb15,FP,29460,3,False
chb15,FP,32860,2,False
chb15,FP,33220,3,False
chb15,FP,37820,1,True
chb15,FP,38940,2,False
chb15,FP,39240,2,False
chb15,FP,39500,2,False
chb15,FP,41120,1,True
chb15,FP,41720,1,True
chb15,FP,42840,2,False
chb15,FP,43280,1,True
chb15,FP,44340,1,True
chb15,FP,45040,1,True
chb15,FP,48620,2,False
chb15,FP,49380,2,False
chb15,FP,54980,2,False
chb15,FP,61320,1,True
chb15,FP,61980,3,False
chb15,FP,62860,2,False
chb15,FP,72300,1,True
chb15,FP,72520,1,True
chb15,FP,72680,1,True
chb15,FP,79940,1,True
chb15,FP,80440,1,True
chb15,FP,82060,1,True
chb15,FP,82460,2,False
chb15,FP,82700,1,True
chb15,FP,83260,1,True
chb15,FP,84360,1,True
chb15,FP,85320,0,True
chb15,FP,85920,1,True
chb15,TP,18340,3,False
chb15,TP,52080,3,False
chb15,TP,65400,3,False
chb15,TP,69240,3,False
chb15,TP,76480,3,False
chb15,TP,88280,2,False
chb15,TP,105220,3,False
chb15,TP,107760,2,False
chb15,TP,114900,2,False
chb15,TP,115060,1,True
chb15,TP,116320,3,False
chb15,TP,126780,2,False
chb15,TP,129900,3,False
chb15,TP,130460,3,False
chb15,TP,130700,0,True
chb15,TP,131160,2,False
chb15,TP,131820,2,False
chb15,TP,133040,2,False
chb15,TP,137580,2,False
chb15,TP,137700,3,False
chb16,FP,180,2,False
chb16,FP,420,2,False
chb16,FP,880,1,True
chb16,FP,980,2,False
chb16,FP,1840,2,False
chb16,FP,2100,2,False
chb16,FP,2940,2,False
chb16,FP,3120,2,False
chb16,FP,3680,2,False
chb16,FP,3960,2,False
chb16,FP,4300,2,False
chb16,FP,4480,2,False
chb16,FP,4580,1,True
chb16,FP,4740,2,False
chb16,FP,4960,1,True
chb16,FP,5780,1,True
chb16,FP,7860,1,True
chb16,FP,8480,1,True
chb16,FP,8640,1,True
chb16,FP,9520,1,True
chb16,FP,11920,2,False
chb16,FP,12380,0,True
chb16,FP,12640,1,True
chb16,FP,14380,2,False
chb16,FP,14840,3,False
chb16,FP,15560,2,False
chb16,FP,16920,1,True
chb16,FP,17880,2,False
chb16,FP,23680,3,False
chb16,FP,24460,1,True
chb16,FP,24700,2,False
chb16,TP,37160,2,False
chb16,TP,48700,1,True
chb16,TP,57860,2,False
chb16,TP,59320,1,True
chb16,TP,59740,1,True
chb16,TP,63080,3,False
chb17,FP,200,1,True
chb17,FP,400,1,True
chb17,FP,2140,1,True
chb17,FP,3600,2,False
chb17,FP,4040,2,False
chb17,FP,4300,2,False
chb17,FP,4940,1,True
chb17,FP,5180,1,True
chb17,FP,5540,1,True
chb17,FP,5820,1,True
chb17,FP,7200,2,False
chb17,FP,7400,1,True
chb17,FP,7960,1,True
chb17,FP,9260,1,True
chb17,FP,9580,1,True
chb17,FP,9680,1,True
chb17,FP,13040,1,True
chb17,FP,13920,0,True
chb17,FP,16000,0,True
chb17,FP,17940,0,True
chb17,FP,18240,2,False
chb17,FP,18620,0,True
chb17,FP,20600,1,True
chb17,FP,20820,3,False
chb17,FP,22940,2,False
chb17,FP,25040,0,True
chb17,FP,36040,2,False
chb17,FP,37500,0,True
chb17,FP,37640,0,True
chb17,FP,37800,0,True
chb17,FP,38620,2,False
chb17,TP,2240,3,False
chb17,TP,6640,1,True
chb17,TP,6760,3,False
chb18,FP,500,1,True
chb18,FP,780,1,True
chb18,FP,1540,1,True
chb18,FP,1840,2,False
chb18,FP,2460,1,True
chb18,FP,2700,1,True
chb18,FP,4480,1,True
chb18,FP,5540,1,True
chb18,FP,5800,2,False
chb18,FP,6260,0,True
chb18,FP,6580,1,True
chb18,FP,6980,0,True
chb18,FP,7660,3,False
chb18,FP,8500,2,False
chb18,FP,10100,1,True
chb18,FP,12460,1,True
chb18,FP,12660,2,False
chb18,FP,13220,1,True
chb18,FP,13360,1,True
chb18,FP,14200,1,True
chb18,FP,17500,1,True
chb18,FP,19160,1,True
chb18,FP,20740,1,True
chb18,FP,21120,2,False
chb18,FP,21280,0,True
chb18,FP,22300,1,True
chb18,FP,23940,2,False
chb18,FP,24120,0,True
chb18,FP,26060,2,False
chb18,FP,26600,1,True
chb18,FP,26700,2,False
chb18,FP,27100,0,True
chb18,FP,27240,1,True
chb18,FP,28160,2,False
chb18,FP,28260,2,False
chb18,FP,29280,2,False
chb18,FP,29680,2,False
chb18,FP,29800,2,False
chb18,FP,30120,1,True
chb18,FP,31120,1,True
chb18,FP,31520,1,True
chb18,FP,31680,0,True
chb18,FP,31820,1,True
chb18,FP,32100,2,False
chb18,FP,32200,0,True
chb18,FP,32820,1,True
chb18,FP,32960,1,True
chb18,FP,33080,1,True
chb18,FP,33360,2,False
chb18,FP,33940,1,True
chb18,FP,34580,2,False
chb18,FP,35820,0,True
chb18,FP,36220,3,False
chb18,FP,36820,1,True
chb18,FP,37200,3,False
chb18,FP,42940,1,True
chb18,FP,43320,2,False
chb18,FP,45780,1,True
chb18,FP,46940,2,False
chb18,FP,48600,2,False
chb18,FP,48840,2,False
chb18,FP,49400,1,True
chb18,FP,49500,2,False
chb18,FP,49960,0,True
chb18,FP,50800,2,False
chb18,FP,52720,0,True
chb18,FP,52820,2,False
chb18,FP,53500,1,True
chb18,FP,56540,1,True
chb18,FP,57880,2,False
chb18,FP,59080,2,False
chb18,FP,59400,1,True
chb18,TP,104260,2,False
chb18,TP,110080,3,False
chb18,TP,112180,2,False
chb18,TP,123260,3,False
chb18,TP,125120,3,False
